assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,wlot_oper,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_crt_dat_al_3,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_crte_category,wlot_hold,prod_type,cust_code,package_id,po_no,wlot_mvin_perfmd,wlot_deleted,wlot_actl_mvin_dt,wlot_actl_mvin_tm,wlot_dt_last_trans,wlot_tm_last_trans,assy_issue,bd_id,assy_group,wlot_hold_category,da_type,tape_no,mark_type,test_entity,package_id1,wlot_owner,wb_date,sp_date,pack_date,ship_date,due_date,wafer_size,urgent_code,note_4,heat_block,heat_block_qty,pb_free,sps_status,ship_to,md_no,swr_id,swr_ver,wlot_hold_note,wlot_assy_lot,assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,
	RXXVG1F    ,	,	2260,	2022/1/10 下午 06:47:53,	S2784     ,	Y,	2070,	RXXVG1F    ,	ChipMOS      ,	DFN-08YD2A     ,	008YDVG003               ,	P30871Y1                                          ,	93,	0,	2070,	A2,	N,	TSOP  ,	FQ,	IS25LP032D-JKLE-TR{BD2008}                        ,	C02PO-100545321          ,	N,	N,	0,	0,	20220110,	184753,	2022/1/10 上午 12:00:00,	ABU008YD2008A       ,	,	      ,	M,	                         ,	          ,	               ,	IS25LP032D-JKLE-TR{BD2008}                        ,	PROD        ,	2022/1/13 上午 12:00:00,	2022/1/15 上午 12:00:00,	2022/1/16 上午 12:00:00,	2022/1/17 上午 12:00:00,	2022/1/17 上午 12:00:00,	12,	  ,	 G G A C C                                                                      ,	A0803CB0635         ,	19,	Y1,	     ,	VG51    ,	108192HF42               ,	,	,	                                   ,	RXXVG1F,	RXXVG1F    ,	,	2260,	2022/1/10 下午 06:47:53,	S2784     ,	Y,
	RXXVG1F    ,	,	2300,	2022/1/10 下午 06:47:53,	S2784     ,	Y,	2070,	RXXVG1F    ,	ChipMOS      ,	DFN-08YD2A     ,	008YDVG003               ,	P30871Y1                                          ,	93,	0,	2070,	A2,	N,	TSOP  ,	FQ,	IS25LP032D-JKLE-TR{BD2008}                        ,	C02PO-100545321          ,	N,	N,	0,	0,	20220110,	184753,	2022/1/10 上午 12:00:00,	ABU008YD2008A       ,	,	      ,	M,	                         ,	          ,	               ,	IS25LP032D-JKLE-TR{BD2008}                        ,	PROD        ,	2022/1/13 上午 12:00:00,	2022/1/15 上午 12:00:00,	2022/1/16 上午 12:00:00,	2022/1/17 上午 12:00:00,	2022/1/17 上午 12:00:00,	12,	  ,	 G G A C C                                                                      ,	A0803CB0635         ,	19,	Y1,	     ,	VG51    ,	108192HF42               ,	,	,	                                   ,	RXXVG1F,	RXXVG1F    ,	,	2300,	2022/1/10 下午 06:47:53,	S2784     ,	Y,
	RXXVG1F    ,	,	2302,	2022/1/10 下午 06:47:53,	S2784     ,	Y,	2070,	RXXVG1F    ,	ChipMOS      ,	DFN-08YD2A     ,	008YDVG003               ,	P30871Y1                                          ,	93,	0,	2070,	A2,	N,	TSOP  ,	FQ,	IS25LP032D-JKLE-TR{BD2008}                        ,	C02PO-100545321          ,	N,	N,	0,	0,	20220110,	184753,	2022/1/10 上午 12:00:00,	ABU008YD2008A       ,	,	      ,	M,	                         ,	          ,	               ,	IS25LP032D-JKLE-TR{BD2008}                        ,	PROD        ,	2022/1/13 上午 12:00:00,	2022/1/15 上午 12:00:00,	2022/1/16 上午 12:00:00,	2022/1/17 上午 12:00:00,	2022/1/17 上午 12:00:00,	12,	  ,	 G G A C C                                                                      ,	A0803CB0635         ,	19,	Y1,	     ,	VG51    ,	108192HF42               ,	,	,	                                   ,	RXXVG1F,	RXXVG1F    ,	,	2302,	2022/1/10 下午 06:47:53,	S2784     ,	Y,
	RXXVG1F    ,	,	2320,	2022/1/10 下午 06:47:53,	S2784     ,	Y,	2070,	RXXVG1F    ,	ChipMOS      ,	DFN-08YD2A     ,	008YDVG003               ,	P30871Y1                                          ,	93,	0,	2070,	A2,	N,	TSOP  ,	FQ,	IS25LP032D-JKLE-TR{BD2008}                        ,	C02PO-100545321          ,	N,	N,	0,	0,	20220110,	184753,	2022/1/10 上午 12:00:00,	ABU008YD2008A       ,	,	      ,	M,	                         ,	          ,	               ,	IS25LP032D-JKLE-TR{BD2008}                        ,	PROD        ,	2022/1/13 上午 12:00:00,	2022/1/15 上午 12:00:00,	2022/1/16 上午 12:00:00,	2022/1/17 上午 12:00:00,	2022/1/17 上午 12:00:00,	12,	  ,	 G G A C C                                                                      ,	A0803CB0635         ,	19,	Y1,	     ,	VG51    ,	108192HF42               ,	,	,	                                   ,	RXXVG1F,	RXXVG1F    ,	,	2320,	2022/1/10 下午 06:47:53,	S2784     ,	Y,
	RXXVG1F    ,	,	2330,	2022/1/10 下午 06:47:53,	S2784     ,	Y,	2070,	RXXVG1F    ,	ChipMOS      ,	DFN-08YD2A     ,	008YDVG003               ,	P30871Y1                                          ,	93,	0,	2070,	A2,	N,	TSOP  ,	FQ,	IS25LP032D-JKLE-TR{BD2008}                        ,	C02PO-100545321          ,	N,	N,	0,	0,	20220110,	184753,	2022/1/10 上午 12:00:00,	ABU008YD2008A       ,	,	      ,	M,	                         ,	          ,	               ,	IS25LP032D-JKLE-TR{BD2008}                        ,	PROD        ,	2022/1/13 上午 12:00:00,	2022/1/15 上午 12:00:00,	2022/1/16 上午 12:00:00,	2022/1/17 上午 12:00:00,	2022/1/17 上午 12:00:00,	12,	  ,	 G G A C C                                                                      ,	A0803CB0635         ,	19,	Y1,	     ,	VG51    ,	108192HF42               ,	,	,	                                   ,	RXXVG1F,	RXXVG1F    ,	,	2330,	2022/1/10 下午 06:47:53,	S2784     ,	Y,
	RXXVG1F    ,	,	2403,	2022/1/10 下午 06:47:53,	S2784     ,	Y,	2070,	RXXVG1F    ,	ChipMOS      ,	DFN-08YD2A     ,	008YDVG003               ,	P30871Y1                                          ,	93,	0,	2070,	A2,	N,	TSOP  ,	FQ,	IS25LP032D-JKLE-TR{BD2008}                        ,	C02PO-100545321          ,	N,	N,	0,	0,	20220110,	184753,	2022/1/10 上午 12:00:00,	ABU008YD2008A       ,	,	      ,	M,	                         ,	          ,	               ,	IS25LP032D-JKLE-TR{BD2008}                        ,	PROD        ,	2022/1/13 上午 12:00:00,	2022/1/15 上午 12:00:00,	2022/1/16 上午 12:00:00,	2022/1/17 上午 12:00:00,	2022/1/17 上午 12:00:00,	12,	  ,	 G G A C C                                                                      ,	A0803CB0635         ,	19,	Y1,	     ,	VG51    ,	108192HF42               ,	,	,	                                   ,	RXXVG1F,	RXXVG1F    ,	,	2403,	2022/1/10 下午 06:47:53,	S2784     ,	Y,
	RXXVG1F    ,	,	2406,	2022/1/10 下午 06:47:53,	S2784     ,	Y,	2070,	RXXVG1F    ,	ChipMOS      ,	DFN-08YD2A     ,	008YDVG003               ,	P30871Y1                                          ,	93,	0,	2070,	A2,	N,	TSOP  ,	FQ,	IS25LP032D-JKLE-TR{BD2008}                        ,	C02PO-100545321          ,	N,	N,	0,	0,	20220110,	184753,	2022/1/10 上午 12:00:00,	ABU008YD2008A       ,	,	      ,	M,	                         ,	          ,	               ,	IS25LP032D-JKLE-TR{BD2008}                        ,	PROD        ,	2022/1/13 上午 12:00:00,	2022/1/15 上午 12:00:00,	2022/1/16 上午 12:00:00,	2022/1/17 上午 12:00:00,	2022/1/17 上午 12:00:00,	12,	  ,	 G G A C C                                                                      ,	A0803CB0635         ,	19,	Y1,	     ,	VG51    ,	108192HF42               ,	,	,	                                   ,	RXXVG1F,	RXXVG1F    ,	,	2406,	2022/1/10 下午 06:47:53,	S2784     ,	Y,
	RXXVG1F    ,	,	2410,	2022/1/10 下午 06:47:53,	S2784     ,	Y,	2070,	RXXVG1F    ,	ChipMOS      ,	DFN-08YD2A     ,	008YDVG003               ,	P30871Y1                                          ,	93,	0,	2070,	A2,	N,	TSOP  ,	FQ,	IS25LP032D-JKLE-TR{BD2008}                        ,	C02PO-100545321          ,	N,	N,	0,	0,	20220110,	184753,	2022/1/10 上午 12:00:00,	ABU008YD2008A       ,	,	      ,	M,	                         ,	          ,	               ,	IS25LP032D-JKLE-TR{BD2008}                        ,	PROD        ,	2022/1/13 上午 12:00:00,	2022/1/15 上午 12:00:00,	2022/1/16 上午 12:00:00,	2022/1/17 上午 12:00:00,	2022/1/17 上午 12:00:00,	12,	  ,	 G G A C C                                                                      ,	A0803CB0635         ,	19,	Y1,	     ,	VG51    ,	108192HF42               ,	,	,	                                   ,	RXXVG1F,	RXXVG1F    ,	,	2410,	2022/1/10 下午 06:47:53,	S2784     ,	Y,
	RXXVG1F    ,	,	2420,	2022/1/10 下午 06:47:53,	S2784     ,	Y,	2070,	RXXVG1F    ,	ChipMOS      ,	DFN-08YD2A     ,	008YDVG003               ,	P30871Y1                                          ,	93,	0,	2070,	A2,	N,	TSOP  ,	FQ,	IS25LP032D-JKLE-TR{BD2008}                        ,	C02PO-100545321          ,	N,	N,	0,	0,	20220110,	184753,	2022/1/10 上午 12:00:00,	ABU008YD2008A       ,	,	      ,	M,	                         ,	          ,	               ,	IS25LP032D-JKLE-TR{BD2008}                        ,	PROD        ,	2022/1/13 上午 12:00:00,	2022/1/15 上午 12:00:00,	2022/1/16 上午 12:00:00,	2022/1/17 上午 12:00:00,	2022/1/17 上午 12:00:00,	12,	  ,	 G G A C C                                                                      ,	A0803CB0635         ,	19,	Y1,	     ,	VG51    ,	108192HF42               ,	,	,	                                   ,	RXXVG1F,	RXXVG1F    ,	,	2420,	2022/1/10 下午 06:47:53,	S2784     ,	Y,
	RXXVG1F    ,	,	2425,	2022/1/10 下午 06:47:53,	S2784     ,	Y,	2070,	RXXVG1F    ,	ChipMOS      ,	DFN-08YD2A     ,	008YDVG003               ,	P30871Y1                                          ,	93,	0,	2070,	A2,	N,	TSOP  ,	FQ,	IS25LP032D-JKLE-TR{BD2008}                        ,	C02PO-100545321          ,	N,	N,	0,	0,	20220110,	184753,	2022/1/10 上午 12:00:00,	ABU008YD2008A       ,	,	      ,	M,	                         ,	          ,	               ,	IS25LP032D-JKLE-TR{BD2008}                        ,	PROD        ,	2022/1/13 上午 12:00:00,	2022/1/15 上午 12:00:00,	2022/1/16 上午 12:00:00,	2022/1/17 上午 12:00:00,	2022/1/17 上午 12:00:00,	12,	  ,	 G G A C C                                                                      ,	A0803CB0635         ,	19,	Y1,	     ,	VG51    ,	108192HF42               ,	,	,	                                   ,	RXXVG1F,	RXXVG1F    ,	,	2425,	2022/1/10 下午 06:47:53,	S2784     ,	Y,
	RXXVG1F    ,	,	2430,	2022/1/10 下午 06:47:53,	S2784     ,	Y,	2070,	RXXVG1F    ,	ChipMOS      ,	DFN-08YD2A     ,	008YDVG003               ,	P30871Y1                                          ,	93,	0,	2070,	A2,	N,	TSOP  ,	FQ,	IS25LP032D-JKLE-TR{BD2008}                        ,	C02PO-100545321          ,	N,	N,	0,	0,	20220110,	184753,	2022/1/10 上午 12:00:00,	ABU008YD2008A       ,	,	      ,	M,	                         ,	          ,	               ,	IS25LP032D-JKLE-TR{BD2008}                        ,	PROD        ,	2022/1/13 上午 12:00:00,	2022/1/15 上午 12:00:00,	2022/1/16 上午 12:00:00,	2022/1/17 上午 12:00:00,	2022/1/17 上午 12:00:00,	12,	  ,	 G G A C C                                                                      ,	A0803CB0635         ,	19,	Y1,	     ,	VG51    ,	108192HF42               ,	,	,	                                   ,	RXXVG1F,	RXXVG1F    ,	,	2430,	2022/1/10 下午 06:47:53,	S2784     ,	Y,
	RXXVG1F    ,	,	2435,	2022/1/10 下午 06:47:53,	S2784     ,	Y,	2070,	RXXVG1F    ,	ChipMOS      ,	DFN-08YD2A     ,	008YDVG003               ,	P30871Y1                                          ,	93,	0,	2070,	A2,	N,	TSOP  ,	FQ,	IS25LP032D-JKLE-TR{BD2008}                        ,	C02PO-100545321          ,	N,	N,	0,	0,	20220110,	184753,	2022/1/10 上午 12:00:00,	ABU008YD2008A       ,	,	      ,	M,	                         ,	          ,	               ,	IS25LP032D-JKLE-TR{BD2008}                        ,	PROD        ,	2022/1/13 上午 12:00:00,	2022/1/15 上午 12:00:00,	2022/1/16 上午 12:00:00,	2022/1/17 上午 12:00:00,	2022/1/17 上午 12:00:00,	12,	  ,	 G G A C C                                                                      ,	A0803CB0635         ,	19,	Y1,	     ,	VG51    ,	108192HF42               ,	,	,	                                   ,	RXXVG1F,	RXXVG1F    ,	,	2435,	2022/1/10 下午 06:47:53,	S2784     ,	Y,
	RXXVG1F    ,	,	2460,	2022/1/10 下午 06:47:53,	S2784     ,	Y,	2070,	RXXVG1F    ,	ChipMOS      ,	DFN-08YD2A     ,	008YDVG003               ,	P30871Y1                                          ,	93,	0,	2070,	A2,	N,	TSOP  ,	FQ,	IS25LP032D-JKLE-TR{BD2008}                        ,	C02PO-100545321          ,	N,	N,	0,	0,	20220110,	184753,	2022/1/10 上午 12:00:00,	ABU008YD2008A       ,	,	      ,	M,	                         ,	          ,	               ,	IS25LP032D-JKLE-TR{BD2008}                        ,	PROD        ,	2022/1/13 上午 12:00:00,	2022/1/15 上午 12:00:00,	2022/1/16 上午 12:00:00,	2022/1/17 上午 12:00:00,	2022/1/17 上午 12:00:00,	12,	  ,	 G G A C C                                                                      ,	A0803CB0635         ,	19,	Y1,	     ,	VG51    ,	108192HF42               ,	,	,	                                   ,	RXXVG1F,	RXXVG1F    ,	,	2460,	2022/1/10 下午 06:47:53,	S2784     ,	Y,
	RXXVG1F    ,	,	2470,	2022/1/10 下午 06:47:53,	S2784     ,	Y,	2070,	RXXVG1F    ,	ChipMOS      ,	DFN-08YD2A     ,	008YDVG003               ,	P30871Y1                                          ,	93,	0,	2070,	A2,	N,	TSOP  ,	FQ,	IS25LP032D-JKLE-TR{BD2008}                        ,	C02PO-100545321          ,	N,	N,	0,	0,	20220110,	184753,	2022/1/10 上午 12:00:00,	ABU008YD2008A       ,	,	      ,	M,	                         ,	          ,	               ,	IS25LP032D-JKLE-TR{BD2008}                        ,	PROD        ,	2022/1/13 上午 12:00:00,	2022/1/15 上午 12:00:00,	2022/1/16 上午 12:00:00,	2022/1/17 上午 12:00:00,	2022/1/17 上午 12:00:00,	12,	  ,	 G G A C C                                                                      ,	A0803CB0635         ,	19,	Y1,	     ,	VG51    ,	108192HF42               ,	,	,	                                   ,	RXXVG1F,	RXXVG1F    ,	,	2470,	2022/1/10 下午 06:47:53,	S2784     ,	Y,
	RXXVG1F    ,	,	2480,	2022/1/10 下午 06:47:53,	S2784     ,	Y,	2070,	RXXVG1F    ,	ChipMOS      ,	DFN-08YD2A     ,	008YDVG003               ,	P30871Y1                                          ,	93,	0,	2070,	A2,	N,	TSOP  ,	FQ,	IS25LP032D-JKLE-TR{BD2008}                        ,	C02PO-100545321          ,	N,	N,	0,	0,	20220110,	184753,	2022/1/10 上午 12:00:00,	ABU008YD2008A       ,	,	      ,	M,	                         ,	          ,	               ,	IS25LP032D-JKLE-TR{BD2008}                        ,	PROD        ,	2022/1/13 上午 12:00:00,	2022/1/15 上午 12:00:00,	2022/1/16 上午 12:00:00,	2022/1/17 上午 12:00:00,	2022/1/17 上午 12:00:00,	12,	  ,	 G G A C C                                                                      ,	A0803CB0635         ,	19,	Y1,	     ,	VG51    ,	108192HF42               ,	,	,	                                   ,	RXXVG1F,	RXXVG1F    ,	,	2480,	2022/1/10 下午 06:47:53,	S2784     ,	Y,
	RXXVG1F    ,	,	2490,	2022/1/10 下午 06:47:53,	S2784     ,	Y,	2070,	RXXVG1F    ,	ChipMOS      ,	DFN-08YD2A     ,	008YDVG003               ,	P30871Y1                                          ,	93,	0,	2070,	A2,	N,	TSOP  ,	FQ,	IS25LP032D-JKLE-TR{BD2008}                        ,	C02PO-100545321          ,	N,	N,	0,	0,	20220110,	184753,	2022/1/10 上午 12:00:00,	ABU008YD2008A       ,	,	      ,	M,	                         ,	          ,	               ,	IS25LP032D-JKLE-TR{BD2008}                        ,	PROD        ,	2022/1/13 上午 12:00:00,	2022/1/15 上午 12:00:00,	2022/1/16 上午 12:00:00,	2022/1/17 上午 12:00:00,	2022/1/17 上午 12:00:00,	12,	  ,	 G G A C C                                                                      ,	A0803CB0635         ,	19,	Y1,	     ,	VG51    ,	108192HF42               ,	,	,	                                   ,	RXXVG1F,	RXXVG1F    ,	,	2490,	2022/1/10 下午 06:47:53,	S2784     ,	Y,
	N31BWGT32  ,	2,	2470,	2020/8/9 上午 04:31:42,	WSM       ,	Y,	3720,	N31BWGT32  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE391A                                          ,	1683,	0,	3720,	A2,	Y,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K3H50                   ,	N,	N,	0,	0,	20201019,	100739,	2020/7/30 上午 12:00:00,	                    ,	,	CM99  ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	PROD        ,	2020/7/31 上午 12:00:00,	2020/8/1 上午 12:00:00,	2020/8/2 上午 12:00:00,	2020/8/3 上午 12:00:00,	2020/8/3 上午 12:00:00,	8 ,	,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	,	,	IC不在位置上                       ,	N31BWGT,	N31BWGT32  ,	2,	2470,	2020/8/9 上午 04:31:42,	WSM       ,	Y,
	N36BWBU01  ,	2,	2470,	2020/9/8 上午 11:29:35,	WSM       ,	Y,	3720,	N36BWBU01  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	Y,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200912,	115155,	2020/9/7 上午 12:00:00,	                    ,	,	PC    ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	待客戶指示                         ,	N36BWBU,	N36BWBU01  ,	2,	2470,	2020/9/8 上午 11:29:35,	WSM       ,	Y,
	N36BWBU05  ,	2,	2470,	2020/9/8 下午 07:43:51,	WSM       ,	Y,	3720,	N36BWBU05  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200908,	194350,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU05  ,	2,	2470,	2020/9/8 下午 07:43:51,	WSM       ,	Y,
	N36BWBU09  ,	2,	2470,	2020/9/9 上午 01:41:30,	WSM       ,	Y,	3720,	N36BWBU09  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200909,	14130,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU09  ,	2,	2470,	2020/9/9 上午 01:41:30,	WSM       ,	Y,
	N36BWBU13  ,	2,	2470,	2020/9/9 上午 10:23:05,	WSM       ,	Y,	3720,	N36BWBU13  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200909,	102304,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU13  ,	2,	2470,	2020/9/9 上午 10:23:05,	WSM       ,	Y,
